id,model,metric,score
3,gemini,virality,3
3,deepseek,correctness,5
3,deepseek,relevance,5
3,deepseek,faithfulness,5
3,deepseek,helpfulness,5
3,deepseek,truthfulness,5
3,deepseek,virality,3
4,llama,correctness,5
4,llama,relevance,5
4,llama,faithfulness,5
4,llama,helpfulness,5
4,llama,truthfulness,5
4,llama,virality,3
4,mistral,correctness,5
4,mistral,relevance,5
4,mistral,faithfulness,5
4,mistral,helpfulness,5
4,mistral,truthfulness,5
4,mistral,virality,3
4,gemini,correctness,5
4,gemini,relevance,5
4,gemini,faithfulness,5
4,gemini,helpfulness,5
4,gemini,truthfulness,5
4,gemini,virality,4
4,deepseek,correctness,5
4,deepseek,relevance,5
4,deepseek,faithfulness,5
4,deepseek,helpfulness,5
4,deepseek,truthfulness,5
4,deepseek,virality,3
5,llama,correctness,5
5,llama,relevance,5
5,llama,faithfulness,5
5,llama,helpfulness,5
5,llama,truthfulness,5
5,llama,virality,3
5,mistral,correctness,5
5,mistral,relevance,5
5,mistral,faithfulness,5
5,mistral,helpfulness,5
5,mistral,truthfulness,5
5,mistral,virality,3
5,gemini,correctness,5
5,gemini,relevance,5
5,gemini,faithfulness,5
5,gemini,helpfulness,5
5,gemini,truthfulness,5
5,gemini,virality,4
5,deepseek,correctness,5
5,deepseek,relevance,5
5,deepseek,faithfulness,5
5,deepseek,helpfulness,5
5,deepseek,truthfulness,5
5,deepseek,virality,5
6,llama,correctness,5
6,llama,relevance,5
6,llama,faithfulness,5
6,llama,helpfulness,5
6,llama,truthfulness,5
6,llama,virality,3
6,mistral,correctness,5
6,mistral,relevance,5
6,mistral,faithfulness,5
6,mistral,helpfulness,5
6,mistral,truthfulness,5
6,mistral,virality,3
6,gemini,correctness,5
6,gemini,relevance,5
6,gemini,faithfulness,5
6,gemini,helpfulness,5
6,gemini,truthfulness,5
6,gemini,virality,4
6,deepseek,correctness,5
6,deepseek,relevance,5
6,deepseek,faithfulness,5
6,deepseek,helpfulness,5
6,deepseek,truthfulness,5
6,deepseek,virality,3
7,llama,correctness,5
7,llama,relevance,5
7,llama,faithfulness,5
7,llama,helpfulness,5
7,llama,truthfulness,5
7,llama,virality,3
7,mistral,correctness,5
7,mistral,relevance,5
7,mistral,faithfulness,5
7,mistral,helpfulness,5
7,mistral,truthfulness,5
7,mistral,virality,3
7,gemini,correctness,5
7,gemini,relevance,5
7,gemini,faithfulness,5
7,gemini,helpfulness,5
7,gemini,truthfulness,5
7,gemini,virality,4
7,deepseek,correctness,5
7,deepseek,relevance,5
7,deepseek,faithfulness,5
7,deepseek,helpfulness,5
7,deepseek,truthfulness,5
7,deepseek,virality,4
8,llama,correctness,5
8,llama,relevance,5
8,llama,faithfulness,5
8,llama,helpfulness,5
8,llama,truthfulness,5
8,llama,virality,3
8,mistral,correctness,5
8,mistral,relevance,5
8,mistral,faithfulness,5
8,mistral,helpfulness,5
8,mistral,truthfulness,5
8,mistral,virality,3
8,gemini,correctness,5
8,gemini,relevance,5
8,gemini,faithfulness,5
8,gemini,helpfulness,5
8,gemini,truthfulness,5
8,gemini,virality,4
8,deepseek,correctness,5
8,deepseek,relevance,5
8,deepseek,faithfulness,5
8,deepseek,helpfulness,5
8,deepseek,truthfulness,5
8,deepseek,virality,4
9,llama,correctness,5
9,llama,relevance,5
9,llama,faithfulness,5
9,llama,helpfulness,5
9,llama,truthfulness,5
9,llama,virality,3
9,mistral,correctness,5
9,mistral,relevance,5
9,mistral,faithfulness,5
9,mistral,helpfulness,5
9,mistral,truthfulness,5
9,mistral,virality,4
9,gemini,correctness,5
9,gemini,relevance,5
9,gemini,faithfulness,5
9,gemini,helpfulness,5
9,gemini,truthfulness,5
9,gemini,virality,4
9,deepseek,correctness,5
9,deepseek,relevance,5
9,deepseek,faithfulness,5
9,deepseek,helpfulness,5
9,deepseek,truthfulness,5
9,deepseek,virality,4
10,llama,correctness,4
10,llama,relevance,4
10,llama,faithfulness,5
10,llama,helpfulness,5
10,llama,truthfulness,5
10,llama,virality,3
10,mistral,correctness,4
10,mistral,relevance,4
10,mistral,faithfulness,5
10,mistral,helpfulness,5
10,mistral,truthfulness,4
10,mistral,virality,4
10,gemini,correctness,4
10,gemini,relevance,4
10,gemini,faithfulness,5
10,gemini,helpfulness,5
10,gemini,truthfulness,5
10,gemini,virality,3
10,deepseek,correctness,5
10,deepseek,relevance,5
10,deepseek,faithfulness,5
10,deepseek,helpfulness,5
10,deepseek,truthfulness,5
10,deepseek,virality,4
11,llama,correctness,5
11,llama,relevance,5
11,llama,faithfulness,5
11,llama,helpfulness,5
11,llama,truthfulness,5
11,llama,virality,3
11,mistral,correctness,5
11,mistral,relevance,5
11,mistral,faithfulness,5
11,mistral,helpfulness,5
11,mistral,truthfulness,5
11,mistral,virality,3
11,gemini,correctness,5
11,gemini,relevance,5
11,gemini,faithfulness,5
11,gemini,helpfulness,5
11,gemini,truthfulness,5
11,gemini,virality,3
11,deepseek,correctness,5
11,deepseek,relevance,5
11,deepseek,faithfulness,5
11,deepseek,helpfulness,5
11,deepseek,truthfulness,5
11,deepseek,virality,4
12,llama,correctness,5
12,llama,relevance,5
12,llama,faithfulness,5
12,llama,helpfulness,5
12,llama,truthfulness,5
12,llama,virality,3
12,mistral,correctness,5
12,mistral,relevance,5
12,mistral,faithfulness,5
12,mistral,helpfulness,4
12,mistral,truthfulness,5
12,mistral,virality,3
12,gemini,correctness,5
12,gemini,relevance,5
12,gemini,faithfulness,5
12,gemini,helpfulness,5
12,gemini,truthfulness,5
12,gemini,virality,4
12,deepseek,correctness,5
12,deepseek,relevance,5
12,deepseek,faithfulness,5
12,deepseek,helpfulness,5
12,deepseek,truthfulness,5
12,deepseek,virality,4
13,llama,correctness,5
13,llama,relevance,5
13,llama,faithfulness,5
13,llama,helpfulness,5
13,llama,truthfulness,5
13,llama,virality,3
13,mistral,correctness,5
13,mistral,relevance,5
13,mistral,faithfulness,5
13,mistral,helpfulness,5
13,mistral,truthfulness,5
13,mistral,virality,2
13,gemini,correctness,5
13,gemini,relevance,5
13,gemini,faithfulness,5
13,gemini,helpfulness,5
13,gemini,truthfulness,5
13,gemini,virality,3
13,deepseek,correctness,5
13,deepseek,relevance,5
13,deepseek,faithfulness,5
13,deepseek,helpfulness,5
13,deepseek,truthfulness,5
13,deepseek,virality,2
14,llama,correctness,5
14,llama,relevance,5
14,llama,faithfulness,5
14,llama,helpfulness,5
14,llama,truthfulness,5
14,llama,virality,3
14,mistral,correctness,5
14,mistral,relevance,5
14,mistral,faithfulness,5
14,mistral,helpfulness,5
14,mistral,truthfulness,5
14,mistral,virality,3
14,gemini,correctness,5
14,gemini,relevance,5
14,gemini,faithfulness,5
14,gemini,helpfulness,5
14,gemini,truthfulness,5
14,gemini,virality,4
14,deepseek,correctness,5
14,deepseek,relevance,5
14,deepseek,faithfulness,5
14,deepseek,helpfulness,5
14,deepseek,truthfulness,5
14,deepseek,virality,5
15,llama,correctness,5
15,llama,relevance,5
15,llama,faithfulness,5
15,llama,helpfulness,5
15,llama,truthfulness,5
15,llama,virality,3
15,mistral,correctness,5
15,mistral,relevance,5
15,mistral,faithfulness,5
15,mistral,helpfulness,5
15,mistral,truthfulness,5
15,mistral,virality,3
15,gemini,correctness,5
15,gemini,relevance,5
15,gemini,faithfulness,5
15,gemini,helpfulness,5
15,gemini,truthfulness,5
15,gemini,virality,4
15,deepseek,correctness,5
15,deepseek,relevance,5
15,deepseek,faithfulness,5
15,deepseek,helpfulness,5
15,deepseek,truthfulness,5
15,deepseek,virality,4
16,llama,correctness,5
16,llama,relevance,5
16,llama,faithfulness,5
16,llama,helpfulness,5
16,llama,truthfulness,5
16,llama,virality,3
16,mistral,correctness,5
16,mistral,relevance,5
16,mistral,faithfulness,5
16,mistral,helpfulness,5
16,mistral,truthfulness,5
16,mistral,virality,3
16,gemini,correctness,5
16,gemini,relevance,5
16,gemini,faithfulness,5
16,gemini,helpfulness,5
16,gemini,truthfulness,5
16,gemini,virality,3
16,deepseek,correctness,5
16,deepseek,relevance,5
16,deepseek,faithfulness,5
16,deepseek,helpfulness,5
16,deepseek,truthfulness,5
16,deepseek,virality,4
17,llama,correctness,5
17,llama,relevance,5
17,llama,faithfulness,5
17,llama,helpfulness,5
17,llama,truthfulness,5
17,llama,virality,3
17,mistral,correctness,5
17,mistral,relevance,5
17,mistral,faithfulness,5
17,mistral,helpfulness,5
17,mistral,truthfulness,5
17,mistral,virality,3
17,gemini,correctness,5
17,gemini,relevance,5
17,gemini,faithfulness,5
17,gemini,helpfulness,5
17,gemini,truthfulness,5
17,gemini,virality,4
17,deepseek,correctness,5
17,deepseek,relevance,5
17,deepseek,faithfulness,5
17,deepseek,helpfulness,5
17,deepseek,truthfulness,5
17,deepseek,virality,3
18,llama,correctness,5
18,llama,relevance,5
18,llama,faithfulness,5
18,llama,helpfulness,5
18,llama,truthfulness,5
18,llama,virality,2
18,mistral,correctness,5
18,mistral,relevance,5
18,mistral,faithfulness,5
18,mistral,helpfulness,5
18,mistral,truthfulness,5
18,mistral,virality,2
18,gemini,correctness,5
18,gemini,relevance,5
18,gemini,faithfulness,5
18,gemini,helpfulness,5
18,gemini,truthfulness,5
18,gemini,virality,2
18,deepseek,correctness,5
18,deepseek,relevance,5
18,deepseek,faithfulness,5
18,deepseek,helpfulness,5
18,deepseek,truthfulness,5
18,deepseek,virality,3
19,llama,correctness,5
19,llama,relevance,5
19,llama,faithfulness,5
19,llama,helpfulness,5
19,llama,truthfulness,5
19,llama,virality,3
19,mistral,correctness,5
19,mistral,relevance,5
19,mistral,faithfulness,5
19,mistral,helpfulness,5
19,mistral,truthfulness,5
19,mistral,virality,3
19,gemini,correctness,5
19,gemini,relevance,5
19,gemini,faithfulness,5
19,gemini,helpfulness,5
19,gemini,truthfulness,5
19,gemini,virality,4
19,deepseek,correctness,5
19,deepseek,relevance,5
19,deepseek,faithfulness,5
19,deepseek,helpfulness,5
19,deepseek,truthfulness,5
19,deepseek,virality,4
20,llama,correctness,5
20,llama,relevance,5
20,llama,faithfulness,5
20,llama,helpfulness,5
20,llama,truthfulness,5
20,llama,virality,3
20,mistral,correctness,5
20,mistral,relevance,5
20,mistral,faithfulness,5
20,mistral,helpfulness,5
20,mistral,truthfulness,5
20,mistral,virality,2
20,gemini,correctness,5
20,gemini,relevance,5
20,gemini,faithfulness,5
20,gemini,helpfulness,5
20,gemini,truthfulness,5
20,gemini,virality,3
20,deepseek,correctness,5
20,deepseek,relevance,5
20,deepseek,faithfulness,5
20,deepseek,helpfulness,5
20,deepseek,truthfulness,5
20,deepseek,virality,3
21,llama,correctness,5
21,llama,relevance,5
21,llama,faithfulness,5
21,llama,helpfulness,5
21,llama,truthfulness,5
21,llama,virality,3
21,mistral,correctness,5
21,mistral,relevance,5
21,mistral,faithfulness,5
21,mistral,helpfulness,5
21,mistral,truthfulness,5
21,mistral,virality,4
21,gemini,correctness,5
21,gemini,relevance,5
21,gemini,faithfulness,5
21,gemini,helpfulness,5
21,gemini,truthfulness,5
21,gemini,virality,3
21,deepseek,correctness,5
21,deepseek,relevance,5
21,deepseek,faithfulness,5
21,deepseek,helpfulness,5
21,deepseek,truthfulness,5
21,deepseek,virality,4
22,llama,correctness,5
22,llama,relevance,5
22,llama,faithfulness,5
22,llama,helpfulness,5
22,llama,truthfulness,5
22,llama,virality,3
22,mistral,correctness,5
22,mistral,relevance,5
22,mistral,faithfulness,5
22,mistral,helpfulness,5
22,mistral,truthfulness,5
22,mistral,virality,3
22,gemini,correctness,5
22,gemini,relevance,5
22,gemini,faithfulness,5
22,gemini,helpfulness,5
22,gemini,truthfulness,5
22,gemini,virality,4
22,deepseek,correctness,5
22,deepseek,relevance,5
22,deepseek,faithfulness,5
22,deepseek,helpfulness,5
22,deepseek,truthfulness,5
22,deepseek,virality,4
23,llama,correctness,5
23,llama,relevance,5
23,llama,faithfulness,5
23,llama,helpfulness,5
23,llama,truthfulness,5
23,llama,virality,3
23,mistral,correctness,5
23,mistral,relevance,5
23,mistral,faithfulness,5
23,mistral,helpfulness,5
23,mistral,truthfulness,5
23,mistral,virality,3
23,gemini,correctness,5
23,gemini,relevance,5
23,gemini,faithfulness,5
23,gemini,helpfulness,5
23,gemini,truthfulness,5
23,gemini,virality,4
23,deepseek,correctness,5
23,deepseek,relevance,5
23,deepseek,faithfulness,5
23,deepseek,helpfulness,5
23,deepseek,truthfulness,5
23,deepseek,virality,3
24,llama,correctness,5
24,llama,relevance,5
24,llama,faithfulness,5
24,llama,helpfulness,5
24,llama,truthfulness,5
24,llama,virality,2
24,mistral,correctness,5
24,mistral,relevance,5
24,mistral,faithfulness,5
24,mistral,helpfulness,5
24,mistral,truthfulness,5
24,mistral,virality,3
24,gemini,correctness,5
24,gemini,relevance,5
24,gemini,faithfulness,5
24,gemini,helpfulness,5
24,gemini,truthfulness,5
24,gemini,virality,3
24,deepseek,correctness,5
24,deepseek,relevance,5
24,deepseek,faithfulness,5
24,deepseek,helpfulness,5
24,deepseek,truthfulness,5
24,deepseek,virality,3
25,llama,correctness,5
25,llama,relevance,5
25,llama,faithfulness,5
25,llama,helpfulness,5
25,llama,truthfulness,5
25,llama,virality,3
25,mistral,correctness,5
25,mistral,relevance,5
25,mistral,faithfulness,5
25,mistral,helpfulness,5
25,mistral,truthfulness,5
25,mistral,virality,3
25,gemini,correctness,5
25,gemini,relevance,5
25,gemini,faithfulness,5
25,gemini,helpfulness,5
25,gemini,truthfulness,5
25,gemini,virality,3
25,deepseek,correctness,5
25,deepseek,relevance,5
25,deepseek,faithfulness,5
25,deepseek,helpfulness,5
25,deepseek,truthfulness,5
25,deepseek,virality,3
26,llama,correctness,5
26,llama,relevance,5
26,llama,faithfulness,5
26,llama,helpfulness,5
26,llama,truthfulness,5
26,llama,virality,3
26,mistral,correctness,5
26,mistral,relevance,5
26,mistral,faithfulness,5
26,mistral,helpfulness,4
26,mistral,truthfulness,4
26,mistral,virality,3
26,gemini,correctness,4
26,gemini,relevance,4
26,gemini,faithfulness,5
26,gemini,helpfulness,4
26,gemini,truthfulness,5
26,gemini,virality,4
26,deepseek,correctness,5
26,deepseek,relevance,5
26,deepseek,faithfulness,5
26,deepseek,helpfulness,5
26,deepseek,truthfulness,5
26,deepseek,virality,4
27,llama,correctness,5
27,llama,relevance,4
27,llama,faithfulness,5
27,llama,helpfulness,5
27,llama,truthfulness,5
27,llama,virality,2
27,mistral,correctness,5
27,mistral,relevance,5
27,mistral,faithfulness,5
27,mistral,helpfulness,5
27,mistral,truthfulness,5
27,mistral,virality,3
27,gemini,correctness,5
27,gemini,relevance,4
27,gemini,faithfulness,5
27,gemini,helpfulness,5
27,gemini,truthfulness,5
27,gemini,virality,4
27,deepseek,correctness,5
27,deepseek,relevance,5
27,deepseek,faithfulness,5
27,deepseek,helpfulness,5
27,deepseek,truthfulness,5
27,deepseek,virality,4
28,llama,correctness,5
28,llama,relevance,5
28,llama,faithfulness,5
28,llama,helpfulness,5
28,llama,truthfulness,5
28,llama,virality,4
28,mistral,correctness,5
28,mistral,relevance,5
28,mistral,faithfulness,5
28,mistral,helpfulness,5
28,mistral,truthfulness,5
28,mistral,virality,2
28,gemini,correctness,5
28,gemini,relevance,5
28,gemini,faithfulness,5
28,gemini,helpfulness,5
28,gemini,truthfulness,5
28,gemini,virality,3
28,deepseek,correctness,5
28,deepseek,relevance,5
28,deepseek,faithfulness,5
28,deepseek,helpfulness,5
28,deepseek,truthfulness,5
28,deepseek,virality,4
29,llama,correctness,5
29,llama,relevance,4
29,llama,faithfulness,5
29,llama,helpfulness,5
29,llama,truthfulness,5
29,llama,virality,3
29,mistral,correctness,5
29,mistral,relevance,5
29,mistral,faithfulness,5
29,mistral,helpfulness,5
29,mistral,truthfulness,5
29,mistral,virality,4
29,gemini,correctness,5
29,gemini,relevance,5
29,gemini,faithfulness,5
29,gemini,helpfulness,5
29,gemini,truthfulness,5
29,gemini,virality,4
29,deepseek,correctness,5
29,deepseek,relevance,5
29,deepseek,faithfulness,5
29,deepseek,helpfulness,5
29,deepseek,truthfulness,5
29,deepseek,virality,4
0,llama_rag,correctness,5
0,llama_rag,relevance,5
0,llama_rag,faithfulness,5
0,llama_rag,helpfulness,5
0,llama_rag,truthfulness,5
0,llama_rag,virality,3
0,mistral_rag,correctness,4
0,mistral_rag,relevance,5
0,mistral_rag,faithfulness,5
0,mistral_rag,helpfulness,5
0,mistral_rag,truthfulness,5
0,mistral_rag,virality,3
0,gemini_rag,correctness,5
0,gemini_rag,relevance,5
0,gemini_rag,faithfulness,5
0,gemini_rag,helpfulness,5
0,gemini_rag,truthfulness,5
0,gemini_rag,virality,3
0,deepseek_rag,correctness,5
0,deepseek_rag,relevance,5
0,deepseek_rag,faithfulness,5
0,deepseek_rag,helpfulness,5
0,deepseek_rag,truthfulness,5
0,deepseek_rag,virality,2
1,llama_rag,correctness,5
1,llama_rag,relevance,5
1,llama_rag,faithfulness,5
1,llama_rag,helpfulness,5
1,llama_rag,truthfulness,5
1,llama_rag,virality,4
1,mistral_rag,correctness,5
1,mistral_rag,relevance,5
1,mistral_rag,faithfulness,5
1,mistral_rag,helpfulness,5
1,mistral_rag,truthfulness,5
1,mistral_rag,virality,4
1,gemini_rag,correctness,4
1,gemini_rag,relevance,5
1,gemini_rag,faithfulness,5
1,gemini_rag,helpfulness,5
1,gemini_rag,truthfulness,5
1,gemini_rag,virality,4
1,deepseek_rag,correctness,5
1,deepseek_rag,relevance,5
1,deepseek_rag,faithfulness,5
1,deepseek_rag,helpfulness,5
1,deepseek_rag,truthfulness,5
1,deepseek_rag,virality,4
2,llama_rag,correctness,5
2,llama_rag,relevance,5
2,llama_rag,faithfulness,5
2,llama_rag,helpfulness,5
2,llama_rag,truthfulness,5
2,llama_rag,virality,3
2,mistral_rag,correctness,5
2,mistral_rag,relevance,5
2,mistral_rag,faithfulness,4
2,mistral_rag,helpfulness,5
2,mistral_rag,truthfulness,5
2,mistral_rag,virality,4
2,gemini_rag,correctness,5
2,gemini_rag,relevance,5
2,gemini_rag,faithfulness,5
2,gemini_rag,helpfulness,5
2,gemini_rag,truthfulness,5
2,gemini_rag,virality,3
2,deepseek_rag,correctness,5
2,deepseek_rag,relevance,5
2,deepseek_rag,faithfulness,3
2,deepseek_rag,helpfulness,5
2,deepseek_rag,truthfulness,5
2,deepseek_rag,virality,4
3,llama_rag,correctness,2
3,llama_rag,relevance,3
3,llama_rag,faithfulness,3
3,llama_rag,helpfulness,3
3,llama_rag,truthfulness,3
3,llama_rag,virality,3
3,mistral_rag,correctness,1
3,mistral_rag,relevance,4
3,mistral_rag,faithfulness,2
3,mistral_rag,helpfulness,5
3,mistral_rag,truthfulness,4
3,mistral_rag,virality,4
3,gemini_rag,correctness,2
3,gemini_rag,relevance,4
3,gemini_rag,faithfulness,3
3,gemini_rag,helpfulness,4
3,gemini_rag,truthfulness,3
3,gemini_rag,virality,3
3,deepseek_rag,correctness,3
3,deepseek_rag,relevance,4
3,deepseek_rag,faithfulness,3
3,deepseek_rag,helpfulness,5
3,deepseek_rag,truthfulness,4
3,deepseek_rag,virality,4
4,llama_rag,correctness,5
4,llama_rag,relevance,5
4,llama_rag,faithfulness,5
4,llama_rag,helpfulness,5
4,llama_rag,truthfulness,5
4,llama_rag,virality,3
4,mistral_rag,correctness,5
4,mistral_rag,relevance,5
4,mistral_rag,faithfulness,5
4,mistral_rag,helpfulness,5
4,mistral_rag,truthfulness,5
4,mistral_rag,virality,4
4,gemini_rag,correctness,5
4,gemini_rag,relevance,5
4,gemini_rag,faithfulness,5
4,gemini_rag,helpfulness,5
4,gemini_rag,truthfulness,5
4,gemini_rag,virality,4
4,deepseek_rag,correctness,5
4,deepseek_rag,relevance,5
4,deepseek_rag,faithfulness,5
4,deepseek_rag,helpfulness,5
4,deepseek_rag,truthfulness,5
4,deepseek_rag,virality,4
5,llama_rag,correctness,3
5,llama_rag,relevance,3
5,llama_rag,faithfulness,3
5,llama_rag,helpfulness,4
5,llama_rag,truthfulness,4
5,llama_rag,virality,3
5,mistral_rag,correctness,1
5,mistral_rag,relevance,5
5,mistral_rag,faithfulness,1
5,mistral_rag,helpfulness,5
5,mistral_rag,truthfulness,5
5,mistral_rag,virality,4
5,gemini_rag,correctness,3
5,gemini_rag,relevance,5
5,gemini_rag,faithfulness,3
5,gemini_rag,helpfulness,5
5,gemini_rag,truthfulness,5
5,gemini_rag,virality,4
5,deepseek_rag,correctness,1
5,deepseek_rag,relevance,5
5,deepseek_rag,faithfulness,2
5,deepseek_rag,helpfulness,5
5,deepseek_rag,truthfulness,5
5,deepseek_rag,virality,4
6,llama_rag,correctness,3
6,llama_rag,relevance,5
6,llama_rag,faithfulness,4
6,llama_rag,helpfulness,5
6,llama_rag,truthfulness,5
6,llama_rag,virality,3
6,mistral_rag,correctness,5
6,mistral_rag,relevance,5
6,mistral_rag,faithfulness,5
6,mistral_rag,helpfulness,5
6,mistral_rag,truthfulness,5
6,mistral_rag,virality,3
6,gemini_rag,correctness,5
6,gemini_rag,relevance,5
6,gemini_rag,faithfulness,4
6,gemini_rag,helpfulness,5
6,gemini_rag,truthfulness,5
6,gemini_rag,virality,4
6,deepseek_rag,correctness,5
6,deepseek_rag,relevance,5
6,deepseek_rag,faithfulness,5
6,deepseek_rag,helpfulness,5
6,deepseek_rag,truthfulness,5
6,deepseek_rag,virality,4
7,llama_rag,correctness,4
7,llama_rag,relevance,4
7,llama_rag,faithfulness,4
7,llama_rag,helpfulness,5
7,llama_rag,truthfulness,5
7,llama_rag,virality,3
7,mistral_rag,correctness,3
7,mistral_rag,relevance,5
7,mistral_rag,faithfulness,3
7,mistral_rag,helpfulness,5
7,mistral_rag,truthfulness,4
7,mistral_rag,virality,3
7,gemini_rag,correctness,4
7,gemini_rag,relevance,5
7,gemini_rag,faithfulness,5
7,gemini_rag,helpfulness,5
7,gemini_rag,truthfulness,5
7,gemini_rag,virality,4
7,deepseek_rag,correctness,5
7,deepseek_rag,relevance,5
7,deepseek_rag,faithfulness,4
7,deepseek_rag,helpfulness,5
7,deepseek_rag,truthfulness,5
7,deepseek_rag,virality,4
8,llama_rag,correctness,5
8,llama_rag,relevance,5
8,llama_rag,faithfulness,4
8,llama_rag,helpfulness,5
8,llama_rag,truthfulness,5
8,llama_rag,virality,3
8,mistral_rag,correctness,1
8,mistral_rag,relevance,5
8,mistral_rag,faithfulness,3
8,mistral_rag,helpfulness,5
8,mistral_rag,truthfulness,5
8,mistral_rag,virality,4
8,gemini_rag,correctness,5
8,gemini_rag,relevance,5
8,gemini_rag,faithfulness,3
8,gemini_rag,helpfulness,5
8,gemini_rag,truthfulness,5
8,gemini_rag,virality,4
8,deepseek_rag,correctness,5
8,deepseek_rag,relevance,5
8,deepseek_rag,faithfulness,2
8,deepseek_rag,helpfulness,5
8,deepseek_rag,truthfulness,5
8,deepseek_rag,virality,4
9,llama_rag,correctness,5
9,llama_rag,relevance,5
9,llama_rag,faithfulness,5
9,llama_rag,helpfulness,5
9,llama_rag,truthfulness,5
9,llama_rag,virality,4
9,mistral_rag,correctness,5
9,mistral_rag,relevance,5
9,mistral_rag,faithfulness,2
9,mistral_rag,helpfulness,5
9,mistral_rag,truthfulness,5
9,mistral_rag,virality,3
9,gemini_rag,correctness,1
9,gemini_rag,relevance,4
9,gemini_rag,faithfulness,3
9,gemini_rag,helpfulness,4
9,gemini_rag,truthfulness,4
9,gemini_rag,virality,4
9,deepseek_rag,correctness,4
9,deepseek_rag,relevance,5
9,deepseek_rag,faithfulness,4
9,deepseek_rag,helpfulness,5
9,deepseek_rag,truthfulness,5
9,deepseek_rag,virality,4
10,llama_rag,correctness,1
10,llama_rag,relevance,2
10,llama_rag,faithfulness,3
10,llama_rag,helpfulness,2
10,llama_rag,truthfulness,3
10,llama_rag,virality,2
10,mistral_rag,correctness,2
10,mistral_rag,relevance,4
10,mistral_rag,faithfulness,2
10,mistral_rag,helpfulness,3
10,mistral_rag,truthfulness,3
10,mistral_rag,virality,3
10,gemini_rag,correctness,3
10,gemini_rag,relevance,3
10,gemini_rag,faithfulness,3
10,gemini_rag,helpfulness,3
10,gemini_rag,truthfulness,3
10,gemini_rag,virality,3
10,deepseek_rag,correctness,3
10,deepseek_rag,relevance,4
10,deepseek_rag,faithfulness,3
10,deepseek_rag,helpfulness,5
10,deepseek_rag,truthfulness,3
10,deepseek_rag,virality,3
11,llama_rag,correctness,5
11,llama_rag,relevance,5
11,llama_rag,faithfulness,5
11,llama_rag,helpfulness,5
11,llama_rag,truthfulness,5
11,llama_rag,virality,3
11,mistral_rag,correctness,5
11,mistral_rag,relevance,5
11,mistral_rag,faithfulness,3
11,mistral_rag,helpfulness,5
11,mistral_rag,truthfulness,5
11,mistral_rag,virality,4
11,gemini_rag,correctness,3
11,gemini_rag,relevance,5
11,gemini_rag,faithfulness,5
11,gemini_rag,helpfulness,5
11,gemini_rag,truthfulness,5
11,gemini_rag,virality,4
11,deepseek_rag,correctness,3
11,deepseek_rag,relevance,5
11,deepseek_rag,faithfulness,4
11,deepseek_rag,helpfulness,5
11,deepseek_rag,truthfulness,5
11,deepseek_rag,virality,4
12,llama_rag,correctness,4
12,llama_rag,relevance,4
12,llama_rag,faithfulness,3
12,llama_rag,helpfulness,5
12,llama_rag,truthfulness,4
12,llama_rag,virality,4
12,mistral_rag,correctness,2
12,mistral_rag,relevance,3
12,mistral_rag,faithfulness,3
12,mistral_rag,helpfulness,5
12,mistral_rag,truthfulness,4
